location,attention_score
"-96.968750  31.843750
",1.4588291645050049
"-95.531250  29.531250
",1.3034567832946777
"-101.593750  32.906250
",1.3380273580551147
"-97.781250  31.156250
",1.4668594598770142
"-102.843750  33.718750
",1.5447072982788086
"-97.343750  30.406250
",1.311147689819336
"-99.406250  32.468750
",1.274398684501648
"-96.781250  30.718750
",1.4521539211273193
"-98.343750  32.531250
",1.3173742294311523
"-97.718750  31.281250
",1.6243655681610107
"-103.468750  34.156250
",1.3956408500671387
"-98.031250  31.781250
",1.2559517621994019
"-95.968750  30.656250
",1.3304256200790405
"-99.843750  32.468750
",1.4727545976638794
"-98.468750  33.156250
",1.3171688318252563
"-97.406250  31.531250
",1.2647449970245361
"-103.406250  34.406250
",1.3381457328796387
"-100.718750  32.593750
",1.5190174579620361
"-97.281250  31.906250
",1.6147778034210205
"-97.281250  32.343750
",1.4368064403533936
"-99.406250  33.531250
",1.2885308265686035
"-97.718750  31.093750
",1.4184696674346924
"-100.156250  33.343750
",1.2971094846725464
"-97.093750  31.281250
",1.275174856185913
"-98.968750  32.343750
",1.2972465753555298
"-103.718750  33.781250
",1.5180115699768066
"-98.218750  31.468750
",1.4348735809326172
"-103.718750  34.156250
",1.3438341617584229
"-99.906250  32.343750
",1.6688153743743896
"-98.531250  31.843750
",1.5741134881973267
"-96.468750  30.843750
",1.3393495082855225
"-100.718750  32.718750
",1.2915372848510742
"-96.968750  30.843750
",1.2776761054992676
"-100.468750  32.218750
",1.2773914337158203
"-96.468750  30.156250
",1.2597262859344482
"-99.156250  32.406250
",1.5635825395584106
"-96.656250  30.906250
",1.4637094736099243
"-98.156250  33.156250
",1.3682719469070435
"-98.218750  32.718750
",1.3380718231201172
"-97.218750  30.343750
",1.3673917055130005
"-98.281250  32.093750
",1.544729471206665
"-97.593750  30.593750
",1.6353516578674316
"-103.281250  34.031250
",1.6003704071044922
"-95.656250  29.156250
",1.30585515499115
"-95.468750  29.406250
",1.3490219116210938
"-101.843750  34.281250
",1.2576179504394531
"-96.906250  30.531250
",1.6069180965423584
"-98.156250  31.531250
",1.2823373079299927
"-96.031250  30.031250
",1.3477904796600342
"-97.781250  32.718750
",1.5983513593673706
"-95.656250  29.531250
",1.3471190929412842
"-96.156250  29.968750
",1.2901535034179688
"-103.593750  34.531250
",1.6499271392822266
"-102.906250  34.468750
",1.5202380418777466
"-96.781250  31.031250
",1.3551111221313477
"-101.906250  33.218750
",1.2715373039245605
"-103.406250  34.343750
",1.6006929874420166
"-98.031250  32.718750
",1.5184571743011475
"-102.468750  34.218750
",1.3105825185775757
"-101.031250  33.531250
",1.4883832931518555
"-98.031250  31.031250
",1.59981107711792
"-96.843750  30.656250
",1.3058539628982544
"-103.593750  34.343750
",1.5690181255340576
"-100.593750  32.468750
",1.6207212209701538
"-100.031250  32.343750
",1.2619717121124268
"-96.468750  30.031250
",1.6252760887145996
"-97.218750  31.656250
",1.5905745029449463
"-97.468750  32.093750
",1.2864129543304443
"-97.156250  30.593750
",1.3774995803833008
"-101.906250  34.218750
",1.256564974784851
"-97.656250  30.968750
",1.3255016803741455
"-97.406250  32.093750
",1.4154294729232788
"-102.406250  33.781250
",1.5250356197357178
"-103.718750  34.343750
",1.511458396911621
"-102.531250  33.593750
",1.583664059638977
"-100.218750  32.968750
",1.277096152305603
"-96.718750  30.593750
",1.4230847358703613
"-102.093750  34.406250
",1.4315191507339478
"-97.843750  32.156250
",1.3145850896835327
"-103.468750  33.781250
",1.3357938528060913
"-98.218750  32.343750
",1.339779019355774
"-96.656250  31.593750
",1.6600861549377441
"-103.718750  33.718750
",1.2565927505493164
"-103.156250  34.593750
",1.6602281332015991
"-99.906250  33.281250
",1.3445723056793213
"-99.468750  33.531250
",1.3307768106460571
"-96.281250  31.343750
",1.3777977228164673
"-98.968750  32.406250
",1.3434189558029175
"-97.656250  31.593750
",1.5131585597991943
"-100.531250  32.468750
",1.6246936321258545
"-98.031250  31.406250
",1.2829219102859497
"-99.343750  32.906250
",1.5813419818878174
"-97.531250  30.468750
",1.6336023807525635
"-98.656250  32.968750
",1.6505253314971924
"-102.343750  34.031250
",1.5113389492034912
"-103.031250  34.468750
",1.5938074588775635
"-96.968750  30.906250
",1.3036686182022095
"-98.093750  30.843750
",1.6363029479980469
"-96.031250  30.531250
",1.2675447463989258
"-96.531250  31.718750
",1.4799835681915283
"-96.468750  29.906250
",1.3591514825820923
"-100.906250  33.656250
",1.3370201587677002
"-97.656250  31.406250
",1.3588346242904663
"-101.656250  33.593750
",1.4803366661071777
"-102.843750  34.343750
",1.4455406665802002
"-102.093750  34.531250
",1.5268700122833252
"-95.406250  28.906250
",1.3718703985214233
"-98.843750  32.281250
",1.388560175895691
"-101.656250  34.218750
",1.266180157661438
"-96.406250  31.593750
",1.5616216659545898
"-99.843750  32.906250
",1.5010480880737305
"-99.156250  32.531250
",1.4965336322784424
"-96.218750  31.218750
",1.4916303157806396
"-96.656250  30.593750
",1.2803150415420532
"-98.156250  33.093750
",1.3356540203094482
"-99.156250  33.156250
",1.2612459659576416
"-98.281250  31.468750
",1.4091891050338745
"-98.593750  31.906250
",1.3565714359283447
"-99.468750  33.093750
",1.305781364440918
"-97.093750  30.593750
",1.4252516031265259
"-96.406250  31.156250
",1.3509984016418457
"-97.031250  31.781250
",1.3465101718902588
"-95.968750  29.593750
",1.2588868141174316
"-97.406250  31.781250
",1.5807510614395142
"-101.968750  34.093750
",1.441579818725586
"-96.031250  30.281250
",1.5070271492004395
"-97.406250  30.468750
",1.5116642713546753
"-101.593750  33.281250
",1.450364589691162
"-97.843750  31.843750
",1.541500449180603
"-98.656250  32.031250
",1.3204224109649658
"-97.406250  31.281250
",1.414393663406372
"-99.968750  33.593750
",1.4191886186599731
"-96.968750  30.656250
",1.432106614112854
"-98.156250  31.343750
",1.6054103374481201
"-99.031250  32.656250
",1.5970385074615479
"-103.843750  34.281250
",1.445221185684204
"-96.781250  31.531250
",1.6264582872390747
"-101.156250  32.906250
",1.2577805519104004
"-95.968750  30.531250
",1.612725019454956
"-99.968750  32.656250
",1.5138366222381592
"-102.093750  33.718750
",1.4007618427276611
"-103.406250  33.718750
",1.6342673301696777
"-96.218750  30.531250
",1.5557748079299927
"-100.218750  32.281250
",1.60829496383667
"-97.718750  31.718750
",1.4601805210113525
"-97.281250  31.343750
",1.3951489925384521
"-100.468750  32.906250
",1.5256890058517456
"-97.468750  31.531250
",1.5431798696517944
"-103.343750  34.031250
",1.6338202953338623
"-99.281250  33.218750
",1.5900659561157227
"-103.343750  34.218750
",1.5115559101104736
"-98.656250  31.906250
",1.59420645236969
"-102.656250  33.843750
",1.624110460281372
"-99.031250  32.281250
",1.5724656581878662
"-98.656250  32.343750
",1.4244880676269531
"-102.281250  33.718750
",1.5582770109176636
"-102.843750  34.031250
",1.338247537612915
"-100.093750  32.218750
",1.3723890781402588
"-95.906250  29.468750
",1.263655662536621
"-102.656250  33.718750
",1.5490148067474365
"-96.218750  31.156250
",1.406006932258606
"-101.906250  34.093750
",1.540490984916687
"-100.781250  33.656250
",1.5964961051940918
"-99.968750  33.468750
",1.4836792945861816
"-96.281250  30.093750
",1.5011234283447266
"-100.593750  33.281250
",1.600905418395996
"-100.843750  33.531250
",1.3328821659088135
"-103.093750  34.093750
",1.566124439239502
"-102.531250  34.031250
",1.2618755102157593
"-98.593750  32.906250
",1.4741454124450684
"-96.281250  30.968750
",1.4135656356811523
"-97.343750  31.843750
",1.5434151887893677
